record_id,event_id,station_code,location_code,url,status,http_status,error_type,error_message,timestamp
IT-2012-0011__MDG__0,IT-2012-0011,MDG,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0011&station=MDG&data-type=ACC,downloaded,200,,,2026-03-17T07:32:54.113744+00:00
IR-2004-0043__CHA__0,IR-2004-0043,CHA,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=CHA&data-type=ACC,failed,204,HTTPError,HTTP 204 for https://esm-db.eu/esmws/eventdata/1/query?eventid=IR-2004-0043&station=CHA&data-type=ACC,2026-03-17T07:32:54.264151+00:00
IT-2009-0121__ANT__0,IT-2009-0121,ANT,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2009-0121&station=ANT&data-type=ACC,downloaded,200,,,2026-03-17T07:32:54.926722+00:00
ME-1979-0012__HRZ__0,ME-1979-0012,HRZ,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=ME-1979-0012&station=HRZ&data-type=ACC,downloaded,200,,,2026-03-17T07:32:55.132974+00:00
IT-2012-0061__SIRI__0,IT-2012-0061,SIRI,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2012-0061&station=SIRI&data-type=ACC,downloaded,200,,,2026-03-17T07:32:55.447559+00:00
EMSC-20161026_0000095__T1215__0,EMSC-20161026_0000095,T1215,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=T1215&data-type=ACC,downloaded,200,,,2026-03-17T07:32:55.741181+00:00
IT-2013-0005__FIVI__0,IT-2013-0005,FIVI,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2013-0005&station=FIVI&data-type=ACC,downloaded,200,,,2026-03-17T07:32:55.999008+00:00
EMSC-20161026_0000095__ACC__0,EMSC-20161026_0000095,ACC,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=EMSC-20161026_0000095&station=ACC&data-type=ACC,downloaded,200,,,2026-03-17T07:32:56.261476+00:00
GR-1995-0033__KRR1__0,GR-1995-0033,KRR1,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=GR-1995-0033&station=KRR1&data-type=ACC,downloaded,200,,,2026-03-17T07:32:56.478170+00:00
IT-2008-0004__PZS__0,IT-2008-0004,PZS,0,https://esm-db.eu/esmws/eventdata/1/query?eventid=IT-2008-0004&station=PZS&data-type=ACC,downloaded,200,,,2026-03-17T07:32:56.728014+00:00
