record_identifier,component,database
3000382,H1,NGASub
4040099,H2,NGASub
4022837,H2,NGASub
7001970,H2,NGASub
4040392,H2,NGASub
7001766,H1,NGASub
SI-1998-0010_ILBA_0,U,ESM
7004867,H2,NGASub
7008144,H1,NGASub
7001812,H2,NGASub
6002695,H1,NGASub
7004848,H1,NGASub
7010501,H1,NGASub
RO-1990-0003_VRI_0,V,ESM
3000185,H2,NGASub
6001863,H1,NGASub
4035517,H1,NGASub
7007982,H1,NGASub
7008017,H2,NGASub
4028577,H2,NGASub
7004724,H1,NGASub
7004845,H2,NGASub
7012039,H2,NGASub
4032007,H2,NGASub
7006498,H2,NGASub
7004747,H2,NGASub
7004848,H2,NGASub
7008114,H2,NGASub
6001675,H2,NGASub
4016778,H2,NGASub
7006648,H2,NGASub
4017771,H1,NGASub
6001715,H1,NGASub
7006733,H1,NGASub
1002402,H2,NGASub
4025924,H2,NGASub
6001855,H2,NGASub
4019989,H2,NGASub
3000431,H2,NGASub
4003225,H1,NGASub
AM-1990-0013_SBGD_0,U,ESM
4010012,H2,NGASub
6001533,H2,NGASub
7006631,H2,NGASub
4008132,H1,NGASub
4008216,H1,NGASub
7011549,H2,NGASub
7006238,H1,NGASub
4008218,H1,NGASub
7006398,H2,NGASub
4019760,H1,NGASub
7006388,H1,NGASub
4028624,H1,NGASub
6002702,H2,NGASub
7005022,H2,NGASub
4025829,H2,NGASub
4033564,H2,NGASub
2000759,H1,NGASub
6001716,H2,NGASub
4008212,H1,NGASub
4007427,H2,NGASub
7006261,H1,NGASub
7008193,H1,NGASub
4033719,H2,NGASub
4040066,H1,NGASub
GR-1995-0017_VER1_0,V,ESM
EMSC-20161026_0000077_T1216_0,V,ESM
IT-2009-0121_RM07_0,U,ESM
4031788,H2,NGASub
1002907,H1,NGASub
2000812,H1,NGASub
2000762,H1,NGASub
6001533,H1,NGASub
7006265,H2,NGASub
7006406,H1,NGASub
IT-2009-0009_MNG_0,V,ESM
6001720,H2,NGASub
3001295,H2,NGASub
5003392,H2,NGASub
7006238,H2,NGASub
4032458,H1,NGASub
4008193,H2,NGASub
7010261,H1,NGASub
7011277,H2,NGASub
7004685,H2,NGASub
7006261,H2,NGASub
6001524,H2,NGASub
3001305,H2,NGASub
4019360,H1,NGASub
7010261,H2,NGASub
7001231,H1,NGASub
4035215,H1,NGASub
TK-2004-0142_4802_0,V,ESM
IT-2009-0102_RM05_0,U,ESM
IT-2009-0009_CMR_0,U,ESM
EMSC-20161030_0000029_FRT_0,U,ESM
7006725,H1,NGASub
4026654,H1,NGASub
7001223,H1,NGASub
4025927,H2,NGASub
EMSC-20160824_0000013_PSC_0,V,ESM
TK-2005-0030_2406_0,U,ESM
EMSC-20160824_0000006_FRT_0,U,ESM
IT-2008-0004_PZS_0,V,ESM
TK-2007-0024_1201_0,V,ESM
EMSC-20160824_0000013_SPD_0,V,ESM
TK-1999-0077_1604_0,U,ESM
TK-2004-0080_4802_0,V,ESM
2000774,H2,NGASub
4017823,H2,NGASub
TK-1999-0415_C1061_0,V,ESM
EMSC-20161026_0000095_NOR_0,U,ESM
IT-2009-0009_ANT_0,V,ESM
EMSC-20161026_0000095_MNF_0,U,ESM
EMSC-20161026_0000095_ACC_0,V,ESM
EMSC-20161030_0000029_T1212_0,V,ESM
2000069,H2,NGASub
EMSC-20160824_0000006_NCR_0,U,ESM
TK-2007-0024_4401_0,U,ESM
