im,site,region,stripe_iml,stripe_return_period,n_required,n_required_ngasub,n_required_esm,n_available,n_missing,n_missing_ngasub,n_missing_esm,stripe_complete,site_im_complete
AvgSA_03,43,2,0.8,,30,0,30,30,0,0,0,True,True
AvgSA_03,43,2,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,43,2,0.55,,30,0,30,30,0,0,0,True,True
AvgSA_03,43,2,0.5,,30,0,30,30,0,0,0,True,True
AvgSA_03,43,2,0.45,,30,0,30,30,0,0,0,True,True
AvgSA_03,44,2,1.15,,30,1,29,30,0,0,0,True,True
AvgSA_03,44,2,0.95,,30,0,30,30,0,0,0,True,True
AvgSA_03,44,2,0.8,,30,1,29,30,0,0,0,True,True
AvgSA_03,44,2,0.65,,30,0,30,30,0,0,0,True,True
AvgSA_03,44,2,0.55,,30,0,30,30,0,0,0,True,True
